iter	Passed	Remaining
0	1	144
1	2	140
2	3	127
3	4	111
4	5	109
5	6	101
6	7	95
7	7	90
8	9	94
9	10	94
10	11	93
11	12	90
12	13	88
13	13	85
14	14	82
15	15	80
16	15	78
17	16	75
18	17	73
19	17	71
20	18	69
21	19	68
22	20	67
23	21	66
24	21	65
25	25	71
26	25	70
27	26	69
28	27	67
29	28	66
30	29	65
31	30	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	34	56
38	35	55
39	36	54
40	37	53
41	38	52
42	39	52
43	40	51
44	41	50
45	41	49
46	42	48
47	43	47
48	44	46
49	44	44
50	46	44
51	46	43
52	47	42
53	48	41
54	49	40
55	49	39
56	50	38
57	53	38
58	55	38
59	56	37
60	56	36
61	57	35
62	58	34
63	59	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	63	27
70	64	26
71	64	25
72	67	24
73	68	24
74	69	23
75	70	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	74	16
82	75	15
83	75	14
84	76	13
85	77	12
86	77	11
87	78	10
88	79	9
89	81	9
90	83	8
91	83	7
92	84	6
93	85	5
94	85	4
95	86	3
96	87	2
97	87	1
98	88	0
99	89	0
